交易日期,股票代码,总市值,是否交易,最后一天涨跌幅,交易天数,下月涨幅
2006-02-28,sh600000,47723850000.0,0,0.0,14,-0.109106856039
2006-03-31,sh600000,42516900000.0,0,0.0,8,0.0
2006-04-30,sh600000,42516900000.0,0,0.0,0,0.209054944662
2006-05-31,sh600000,39032550000.0,1,-0.025415,13,-0.00601835472791
2006-06-30,sh600000,38797650000.0,1,0.003036,21,-0.112007140351
2006-07-31,sh600000,34452000000.0,1,-0.028698,21,0.117044583528
2006-08-31,sh600000,38484450000.0,1,0.00924,23,0.0803656652015
2006-09-30,sh600000,41577300000.0,1,0.015296,21,0.316381916584
2006-10-31,sh600000,54731700000.0,1,0.043284,17,0.222948178866
2006-11-30,sh600000,73292675790.0,1,0.073247,18,0.266190963364
2006-12-31,sh600000,92802550270.0,1,0.05652,21,0.172689345756
2007-01-31,sh600000,1.088285186e+11,1,-0.050893,20,-0.106842486045
2007-02-28,sh600000,97200981800.0,1,0.02151,15,0.197130109173
2007-03-31,sh600000,1.1636246566e+11,1,0.001124,22,0.00673666008235
2007-04-30,sh600000,1.1714634455e+11,1,-0.021462,21,0.255021249701
2007-05-31,sh600000,1.4702083985e+11,1,0.100033,17,0.0838273371515
2007-06-30,sh600000,1.5934515788e+11,1,-0.026603,21,0.104541339402
2007-07-31,sh600000,1.7528402855e+11,1,-0.018293,22,0.366459057666
2007-08-31,sh600000,2.3951854834e+11,1,0.03852,23,-0.0454532156285
2007-09-30,sh600000,2.2863134159e+11,1,0.041667,20,0.119810843851
2007-10-31,sh600000,2.5602355376e+11,1,0.018009,18,-0.117365733443
2007-11-30,sh600000,2.2597486315e+11,1,0.003481,22,0.0175355851738
2007-12-31,sh600000,2.299378064e+11,1,0.023851,20,-0.128786408731
2008-01-31,sh600000,2.0032460406e+11,1,-0.036246,22,-0.08413087682
2008-02-29,sh600000,1.8347120802e+11,1,0.030325,16,-0.159742819229
2008-03-31,sh600000,1.5416284747e+11,1,-0.011725,20,0.194756181574
2008-04-30,sh600000,1.8342765919e+11,1,0.087613,21,-0.132098839988
2008-05-31,sh600000,1.5919709187e+11,1,0.02069,20,-0.217637799202
2008-06-30,sh600000,1.2454964513e+11,1,-0.043062,20,0.0322723299316
2008-07-31,sh600000,1.2856920186e+11,1,-0.031143,23,-0.032582816121
2008-08-31,sh600000,1.2437980471e+11,1,0.030488,21,-0.289032209303
2008-09-30,sh600000,88430248040.0,1,-0.003827,19,-0.248401098847
2008-10-31,sh600000,66464219720.0,1,-0.035333,20,0.0212937796248
2008-11-30,sh600000,67879556600.0,1,-0.071981,19,0.105089456032
2008-12-31,sh600000,75012854450.0,1,-0.004508,23,0.25962351492
2009-01-31,sh600000,94487889880.0,1,0.012743,15,0.0653086623259
2009-02-28,sh600000,1.0065875866e+11,1,0.03312,20,0.232847125573
2009-03-31,sh600000,1.2409673733e+11,1,-0.003636,22,0.0570269188902
2009-04-30,sh600000,1.3117342171e+11,1,0.00477,21,0.107036303088
2009-05-31,sh600000,1.4521356353e+11,1,0.042259,17,0.26613596011
2009-06-30,sh600000,1.8245390741e+11,1,-0.008186,22,0.180276818578
2009-07-31,sh600000,2.1534633642e+11,1,0.010413,23,-0.343393329161
2009-08-31,sh600000,1.413978153e+11,1,-0.061053,21,0.10145947862
2009-09-30,sh600000,1.7351039683e+11,1,-0.001017,22,0.106360718906
2009-10-31,sh600000,1.9196519221e+11,1,0.007881,16,0.0128792813158
2009-11-30,sh600000,1.9443760499e+11,1,0.026095,21,-0.0149870056708
2009-12-31,sh600000,1.9152368993e+11,1,0.002774,23,-0.0954360671819
2010-01-31,sh600000,1.7324549546e+11,1,-0.004061,20,0.0570845192403
2010-02-28,sh600000,1.8313514657e+11,0,0.0,14,0.0983608106237
2010-03-31,sh600000,2.0114843968e+11,1,-0.008703,14,-0.096137115546
2010-04-30,sh600000,1.8181063973e+11,1,0.019812,20,-0.0995620927342
2010-05-31,sh600000,1.6370904617e+11,1,-0.030842,20,-0.0383546055948
2010-06-30,sh600000,1.5611520692e+11,1,-0.011628,19,0.101471065586
2010-07-31,sh600000,1.7195630879e+11,1,-0.006631,22,-0.0660862083161
2010-08-31,sh600000,1.6059204005e+11,1,-0.007801,22,-0.0736248685574
2010-09-30,sh600000,1.4876860894e+11,1,0.03763,18,0.117284891107
2010-10-31,sh600000,2.0777097391e+11,1,-0.006177,16,-0.123616932916
2010-11-30,sh600000,1.8208657865e+11,1,-0.020833,22,-0.02363973039
2010-12-31,sh600000,1.777819314e+11,1,0.006499,23,0.0266335251296
2011-01-31,sh600000,1.8251704338e+11,1,0.002364,20,-0.000785677955518
2011-02-28,sh600000,1.8237355514e+11,1,0.004743,15,0.0715985247773
2011-03-31,sh600000,1.9543098513e+11,1,-0.016606,23,0.0484572761004
2011-04-30,sh600000,2.0490120908e+11,1,-0.023256,18,-0.0294138517141
2011-05-31,sh600000,1.9887470293e+11,1,0.004348,21,-0.0657981765059
2011-06-30,sh600000,1.8355015872e+11,1,0.008197,21,-0.0447139577923
2011-07-31,sh600000,1.753426313e+11,1,0.019523,21,-0.0117039165012
2011-08-31,sh600000,1.7329074945e+11,1,0.010881,23,-0.080732329452
2011-09-30,sh600000,1.5930064588e+11,1,0.010651,21,0.0784548909914
2011-10-31,sh600000,1.7179847173e+11,1,-0.018124,16,-0.0770869947732
2011-11-30,sh600000,1.5855450703e+11,1,-0.026346,22,-0.00117944518433
2011-12-31,sh600000,1.5836797231e+11,1,0.016766,22,0.0859833415028
2012-01-31,sh600000,1.7198500645e+11,1,0.0,15,0.034707616812
2012-02-29,sh600000,1.779541173e+11,1,-0.012422,21,-0.0639412832651
2012-03-31,sh600000,1.6657549974e+11,1,0.006764,22,0.0537521681069
2012-04-30,sh600000,1.7552916602e+11,1,0.004269,17,-0.0680131869283
2012-05-31,sh600000,1.6359094431e+11,1,-0.005669,22,-0.038474192832
2012-06-30,sh600000,1.516527226e+11,1,0.014981,19,-0.0578107058095
2012-07-31,sh600000,1.4288559104e+11,1,0.013228,22,-0.00652496856529
2012-08-31,sh600000,1.4195291747e+11,1,0.0,23,-0.0302228957705
2012-09-30,sh600000,1.3766261904e+11,1,0.008197,20,0.0176172167419
2012-10-31,sh600000,1.4008757033e+11,1,0.004011,18,-0.00665708385819
